"処理No.","タスク名（大項目）","タスク名（中項目）","タスク詳細","ディレクトリ名","ディレクトリ詳細","ファイル名","ファイル詳細","メソッドクラス詳細","単体テスト","結合テスト"
"043","Frontend基盤構築","Next.js App Router初期化","Next.js App Router初期化を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/app","Next.js App Router初期化に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・frontend/src/app/layout.tsx
　→責務: Root LayoutとしてThemeRegistryと共通HTMLを適用する。
・frontend/src/app/(dashboard)/page.tsx
　→責務: Dashboard RouteでDashboardContentを表示する。","Next.js App Router初期化を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【frontend/src/app/layout.tsx】
・RootLayout（Component）
　→Application共通Layoutを返す。
【frontend/src/app/(dashboard)/page.tsx】
・Page（Component）
　→DashboardContentを表示する。","・Render Smoke
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Metadata
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・型
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・next dev
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）
・next build
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"044","Frontend基盤構築","MUI Theme構築","MUI Theme構築を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/theme","MUI Theme構築に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・frontend/src/theme/theme.ts
　→責務: appThemeを定義する。
・frontend/src/theme/tokens.ts
　→責務: Color、Gradient、Layout Tokenを定義する。
・frontend/src/theme/ThemeRegistry.tsx
　→責務: ThemeProviderとCssBaselineを適用する。
・frontend/src/theme/mui.d.ts
　→責務: MUI Theme型を拡張する。","MUI Theme構築を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【frontend/src/theme/theme.ts】
・appTheme（定数）
　→MUI Theme Instance。
【frontend/src/theme/tokens.ts】
・colorTokens（定数）
　→Color Token。
・gradientTokens（定数）
　→Gradient Token。
・layoutTokens（定数）
　→Layout Token。
【frontend/src/theme/ThemeRegistry.tsx】
・ThemeRegistry（Component）
　→ThemeProviderを子要素へ適用する。","・Token値
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Provider
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・型
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・Layout配下MUI描画
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"045","Frontend基盤構築","共通API Path管理","共通API Path管理を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/lib/api","共通API Path管理に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・paths.ts
　→責務: Backend APIの固定PathとID付きPath生成を一元管理する。","共通API Path管理を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【frontend/src/lib/api/paths.ts】
・apiPaths（定数Object）
　→health、files、reports、reportGenerate、search、chatと、reportPdf/measurements Helperを提供する。","・固定Path
　（特殊文字を含むIDやFilenameを与え、安全なPath生成とTraversal防止を確認する。）
・ID
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Encode
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・各Feature API共通利用
　（実際のRouter、Service、RepositoryまたはMock Serverを接続し、RequestからResponseまでの契約を確認する。）"
"046","Frontend基盤構築","共通API Client","共通API Clientを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/lib/api","共通API Clientに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・client.ts
　→責務: fetch、Base URL、Header、JSON解析、Error変換、AbortSignalを共通化する。","共通API Clientを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【frontend/src/lib/api/client.ts】
・buildApiUrl（関数）
　→NEXT_PUBLIC_API_BASE_URLとPathを結合しSlashを正規化する。
・apiRequest（非同期関数）
　→JSON/FormData/AbortSignalを扱いHTTP通信とApiError変換を行う。
・readErrorDetail（内部関数）
　→Error Responseからdetailを安全に読み取る。","・GET/POST
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・JSON/No Content
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・HTTP
　（各StatusのResponseをMockし、Status、detail、Messageの変換が正しいことを確認する。）
・Network
　（fetchをrejectさせ、Network Errorが共通ApiErrorまたはUI Errorへ変換されることを確認する。）
・Abort
　（進行中RequestをAbortし、不要なError表示や遅延Response反映が起きないことを確認する。）","・Feature API→Backend契約
　（実際のRouter、Service、RepositoryまたはMock Serverを接続し、RequestからResponseまでの契約を確認する。）"
"047","Frontend基盤構築","ApiError設計","ApiError設計を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/lib/errors","ApiError設計に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・api-error.ts
　→責務: HTTP Status、利用者向けMessage、detail、causeを保持する共通Error型を提供する。","ApiError設計を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【frontend/src/lib/errors/api-error.ts】
・ApiError（クラス）
　→status、detail、causeを持つ共通Error。
・missingBaseUrl（静的メソッド）
　→Base URL未設定Errorを生成する。
・networkError（静的メソッド）
　→Network Errorを生成する。
・fromHttpStatus（静的メソッド）
　→HTTP StatusとDetailからErrorを生成する。
・parseErrorDetail（関数）
　→FastAPIのdetail文字列または422配列を解析する。
・resolveUserMessage（内部関数）
　→Status別の利用者向けMessageを解決する。","・Status Message
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・既存Error
　（依存処理を失敗させ、Error変換、利用者向けMessage、状態復旧が正しいことを確認する。）
・非Error
　（依存処理を失敗させ、Error変換、利用者向けMessage、状態復旧が正しいことを確認する。）
・cause
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・API Client→Hook→UI
　（実際のRouter、Service、RepositoryまたはMock Serverを接続し、RequestからResponseまでの契約を確認する。）"
"048","Frontend API構築","Health API Client","Health API Clientを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/health/services","Health API Clientに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・get-health.ts
　→責務: Health Endpointを呼び、statusとserviceを型付きで返す。","Health API Clientを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【get-health.ts】
・getHealth（関数/メソッド）
　→Health APIを呼び、接続状態Responseを返す。","・正常Response
　（Mock Responseを与え、型、Field、Status、MappingがAPI契約と一致することを確認する。）
・HTTP Error
　（依存処理を失敗させ、Error変換、利用者向けMessage、状態復旧が正しいことを確認する。）
・Network Error
　（fetchをrejectさせ、Network Errorが共通ApiErrorまたはUI Errorへ変換されることを確認する。）
・不正Response
　（Mock Responseを与え、型、Field、Status、MappingがAPI契約と一致することを確認する。）","・HealthStatus状態遷移
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"049","Frontend API構築","Measurement API Client","Measurement API Clientを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/dashboard/api","Measurement API Clientに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・get-measurements.ts
　→責務: Measurement取得条件をQueryへ変換し、時系列データを取得する。","Measurement API Clientを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【frontend/src/features/dashboard/api/get-measurements.ts】
・getMeasurements（関数）
　→Uploaded File IDとThresholdからMeasurement APIを呼ぶ。","・正常
　（有効な入力とMock Responseを与え、期待する戻り値、状態更新、呼出引数になることを確認する。）
・Query
　（条件有無や複数条件を与え、期待するSQL/URL Queryが組み立てられることを確認する。）
・空
　（空配列、空文字、空File等を与え、仕様どおり拒否またはEmpty表示になることを確認する。）
・HTTP/Network
　（fetchをrejectさせ、Network Errorが共通ApiErrorまたはUI Errorへ変換されることを確認する。）","・useMeasurements連携
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"050","Frontend API構築","CSV Upload API Client","CSV Upload API Clientを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/analysis/api","CSV Upload API Clientに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・upload-csv.ts
　→責務: CSVとMetadataをFormDataへ格納し、Upload APIへ送信する。","CSV Upload API Clientを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【upload-csv.ts】
・uploadCsv（関数/メソッド）
　→Fileと入力MetadataをFormDataへ詰めてUpload APIへ送信する。
・FormData append（関数/メソッド）
　→値追加。
・ApiError変換（関数/メソッド）
　→Error統一。","・FormData
　（FormDataへFileとMetadataが正しいKey・値で追加されることを確認する。）
・正常
　（有効な入力とMock Responseを与え、期待する戻り値、状態更新、呼出引数になることを確認する。）
・400/409/422
　（重複・競合状態を作り、Conflictとして再処理を防止することを確認する。）
・Network
　（fetchをrejectさせ、Network Errorが共通ApiErrorまたはUI Errorへ変換されることを確認する。）","・useCsvAnalysis→Upload API
　（実際のRouter、Service、RepositoryまたはMock Serverを接続し、RequestからResponseまでの契約を確認する。）"
"051","Frontend API構築","Report生成API Client","Report生成API Clientを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/reports/api","Report生成API Clientに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・generate-report.ts
　→責務: Uploaded File IDと分析条件を送信し、Report生成結果を取得する。","Report生成API Clientを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【generate-report.ts】
・generateReport（関数/メソッド）
　→Upload済みFile IDと分析条件を送信し、Report生成結果を取得する。
・Request body（関数/メソッド）
　→条件組立。
・ApiError変換（関数/メソッド）
　→Error統一。","・正常
　（有効な入力とMock Responseを与え、期待する戻り値、状態更新、呼出引数になることを確認する。）
・404/409/422/502
　（対象なしResponseを与え、Not Foundとして処理されることを確認する。）
・Mapping
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・Hook Uploading→Generating→Success
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"052","Frontend API構築","Report一覧API Client","Report一覧API Clientを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/reports/api","Report一覧API Clientに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・get-reports.ts
　→責務: BackendのReport一覧を取得し、Frontend表示用Report型へ変換する。","Report一覧API Clientを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【get-reports.ts】
・getReports（関数/メソッド）
　→Report一覧APIを呼び、表示用配列を返す。
・mapReport（関数/メソッド）
　→Backend Report ResponseをFrontend Report型へ変換する。
・Fallback（関数/メソッド）
　→既定値。","・正常一覧
　（有効な入力とMock Responseを与え、期待する戻り値、状態更新、呼出引数になることを確認する。）
・空
　（空配列、空文字、空File等を与え、仕様どおり拒否またはEmpty表示になることを確認する。）
・Mapping
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・HTTP
　（各StatusのResponseをMockし、Status、detail、Messageの変換が正しいことを確認する。）","・Dashboard→ReportList
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
