"処理No.","タスク名（大項目）","タスク名（中項目）","タスク詳細","ディレクトリ名","ディレクトリ詳細","ファイル名","ファイル詳細","メソッドクラス詳細","単体テスト","結合テスト"
"001","企画・要件定義","PoC目的整理","PoC目的整理を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","docs","PoC目的整理に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・requirements.md
　→責務: 機能要件、非機能要件、PoC範囲、制約を管理する。後続の設計・実装・テストの判断基準になる。","PoC目的整理を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【requirements.md】
・要件ID（関数/メソッド）
　→機能と制約を識別。
・優先度（関数/メソッド）
　→Must/Should/Couldを設定。","・文書レビュー
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・トレーサビリティ
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・受入基準レビュー
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"002","企画・要件定義","受入基準定義","受入基準定義を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","docs","受入基準定義に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・acceptance-criteria.md
　→責務: 受入可否を判断できる観測可能な合格条件を管理する。要件とテスト結果を結び付ける。","受入基準定義を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【acceptance-criteria.md】
・受入基準ID（関数/メソッド）
　→要件とテストを関連付け。
・期待結果（関数/メソッド）
　→利用者視点の合格条件。","・文書レビュー
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・検証可能性
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・業務シナリオ確認
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"003","企画・要件定義","ユースケース設計","ユースケース設計を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","docs","ユースケース設計に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・use-cases.md
　→責務: 利用者操作、システム応答、代替フロー、例外フローを業務シナリオとして定義する。","ユースケース設計を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【use-cases.md】
・基本フロー（関数/メソッド）
　→正常操作を定義。
・代替フロー（関数/メソッド）
　→例外・分岐を定義。","・文書レビュー
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・前提条件
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・ユースケース結合確認
　（関連Moduleを実際に接続し、Input、Output、Error、状態の受渡しを確認する。）"
"004","アーキテクチャ設計","全体構成設計","全体構成設計を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","docs","全体構成設計に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・architecture.md
　→責務: Frontend、Backend、DB、AI、File Storageの責務と通信経路を定義する。","全体構成設計を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【architecture.md】
・Presentation層（関数/メソッド）
　→UI/API。
・Application層（関数/メソッド）
　→ユースケース。
・Infrastructure層（関数/メソッド）
　→DB/AI/File。","・責務レビュー
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・依存方向
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・Frontend→Backend→DB→AI疎通
　（親Component、Hook、APIを接続し、利用者操作から表示更新までを確認する。）"
"005","アーキテクチャ設計","Backendディレクトリ設計","Backendディレクトリ設計を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend","Backendディレクトリ設計に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src
　→責務: FastAPI本体。API、Core、DB、Model、Schema、Service、Repository、Workflowを格納する。
・backend/tests
　→責務: API、Unit、Integration Testを格納する。
・backend/migrations
　→責務: Alembic Migrationを格納する。
・backend/scripts
　→責務: 個別疎通確認用Scriptを格納する。","Backendはbackend/srcを実装Rootとし、Test、Migration、確認Scriptを別Directoryへ分離する。","【backend】
・package構成（関数/メソッド）
　→API/Service/Repository/Model/Schema/Workflowを分離。","・Import
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・循環依存
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・FastAPI起動
　（実際のRouter、Service、RepositoryまたはMock Serverを接続し、RequestからResponseまでの契約を確認する。）"
"006","アーキテクチャ設計","Frontendディレクトリ設計","Frontendディレクトリ設計を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src","Frontendディレクトリ設計に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・frontend
　→責務: Frontendディレクトリ設計を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。
・src
　→責務: Frontendディレクトリ設計を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。
・処理の流れ: frontend → src
　→上流Fileが入力・設定を作り、下流Fileが業務処理、永続化、表示または検証を担当する。","Frontendディレクトリ設計を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【frontend】
・features（関数/メソッド）
　→機能単位。
・lib（関数/メソッド）
　→共通処理。
・theme（関数/メソッド）
　→MUI設定。","・Import Alias
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・TypeScript
　（tsc --noEmitを実行し、型ErrorなしでCompileできることを確認する。）","・Next.js Build
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"007","Git・構成管理","GitHubリポジトリ作成","GitHubリポジトリ作成を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。",".","GitHubリポジトリ作成に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・.gitignore
　→責務: 機密情報、依存物、Cache、Coverage、Build生成物をGit管理対象から除外する。","GitHubリポジトリ作成を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【.gitignore】
・git init/clone（関数/メソッド）
　→Repository準備。
・git add/commit（関数/メソッド）
　→変更確定。
・git push（関数/メソッド）
　→origin共有。","・git check-ignore
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・git status
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・別環境Clone
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"008","Git・構成管理","環境変数テンプレート作成","【実装済み】共有用の.env.exampleはRepositoryに存在する。実Secretを含む.envやfrontend/.env.localはGitへ含めない。",".","環境変数テンプレート作成に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・.env.example
　→責務: Backend、DB、Azure OpenAI等の環境変数名をSecretなしで共有する。
・frontend/.env.example
　→責務: FrontendのNEXT_PUBLIC_API_BASE_URL等を共有する。","環境変数テンプレート作成を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【.env.example】
・Settings（関数/メソッド）
　→必須変数を定義。
・Secret（関数/メソッド）
　→実値をGit外で管理。","・Secret走査
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・変数不足
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・クリーン環境起動
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"009","環境構築","Docker Compose設計","Docker Compose設計を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。",".","Docker Compose設計に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・docker-compose.yml
　→責務: DBなどの依存Service、Port、Volume、Environment、Healthcheckを一括定義する。","Docker Compose設計を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【docker-compose.yml】
・services（設定項目）
　→DB等を定義。
・volumes（設定項目）
　→永続化。
・healthcheck（設定項目）
　→起動判定。","・docker compose config
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・環境変数
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・Container起動停止
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）
・Backend→DB疎通
　（Test PostgreSQLへ保存・検索を行い、Schema、制約、Transaction、取得結果の整合を確認する。）"
"010","環境構築","DB初期化スクリプト","DB初期化スクリプトを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","scripts","DB初期化スクリプトに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・init-db.sql
　→責務: DB初回起動時にpgvector拡張など、Applicationが必要とする初期設定を適用する。","DB初期化スクリプトを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【init-db.sql】
・CREATE EXTENSION（関数/メソッド）
　→pgvectorを有効化。
・初期権限（関数/メソッド）
　→DB権限を設定。","・SQL構文
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・冪等性
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・空Volume初回起動
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
